Time,value
192000,-0.1323
192500,-0.1311
193000,-0.1299
193500,-0.1292
194000,-0.1287
194500,-0.1283
195000,-0.1279
195500,-0.1277
196000,-0.1297
196500,-0.1357
197000,-0.1456
197500,-0.1573
198000,-0.167
198500,-0.1758
199000,-0.1853
199500,-0.1959
200000,-0.2074
200500,-0.2199
201000,-0.2314
201500,-0.242
202000,-0.2531
202500,-0.2642
203000,-0.2751
203500,-0.2839
204000,-0.2883
204500,-0.2909
205000,-0.2914
205500,-0.2937
206000,-0.2961
206500,-0.2992
207000,-0.3051
207500,-0.3114
208000,-0.3156
208500,-0.3205
209000,-0.3251
209500,-0.3303
210000,-0.3355
210500,-0.3382
211000,-0.3408
211500,-0.3441
212000,-0.3487
212500,-0.3553
213000,-0.3623
213500,-0.3696
214000,-0.376
214500,-0.3784
215000,-0.3789
215500,-0.3803
216000,-0.3822
216500,-0.3844
217000,-0.3867
217500,-0.3896
218000,-0.3949
218500,-0.4011
219000,-0.4075
219500,-0.4144
220000,-0.4205
220500,-0.4263
221000,-0.4316
221500,-0.4363
222000,-0.4398
222500,-0.4435
223000,-0.4474
223500,-0.4507
224000,-0.454
224500,-0.4557
225000,-0.457
225500,-0.4582
226000,-0.4577
226500,-0.4566
227000,-0.4544
227500,-0.4534
228000,-0.4528
228500,-0.4529
229000,-0.4522
229500,-0.4517
230000,-0.4509
230500,-0.4498
231000,-0.4485
231500,-0.4461
232000,-0.4429
232500,-0.439
233000,-0.4345
233500,-0.4305
234000,-0.4265
234500,-0.4221
235000,-0.4167
235500,-0.4111
236000,-0.4049
236500,-0.3998
237000,-0.3957
237500,-0.3917
238000,-0.3877
238500,-0.384
239000,-0.3813
239500,-0.3798
240000,-0.3795
240500,-0.3795
241000,-0.3817
241500,-0.3844
242000,-0.3871
242500,-0.3867
243000,-0.3859
243500,-0.385
244000,-0.3827
244500,-0.3775
245000,-0.3739
245500,-0.3709
246000,-0.3695
246500,-0.3677
247000,-0.3654
247500,-0.3621
248000,-0.3598
248500,-0.3559
249000,-0.3526
249500,-0.3495
250000,-0.3498
250500,-0.3503
251000,-0.3505
251500,-0.3523
252000,-0.3585
252500,-0.3637
253000,-0.3679
253500,-0.3701
254000,-0.3739
254500,-0.379
255000,-0.3853
255500,-0.3902
256000,-0.3938
256500,-0.3965
257000,-0.4009
257500,-0.4059
258000,-0.4109
258500,-0.4163
259000,-0.4213
259500,-0.4229
260000,-0.4233
260500,-0.4242
261000,-0.4258
261500,-0.4279
262000,-0.4283
262500,-0.428
263000,-0.4289
263500,-0.4311
264000,-0.4336
264500,-0.4335
265000,-0.4325
265500,-0.4314
266000,-0.4303
266500,-0.4294
267000,-0.4305
267500,-0.4315
268000,-0.4323
268500,-0.4323
269000,-0.4296
269500,-0.4285
270000,-0.4271
270500,-0.4247
271000,-0.4217
271500,-0.4173
272000,-0.4123
272500,-0.4071
273000,-0.4019
273500,-0.3966
274000,-0.3914
274500,-0.3861
275000,-0.3813
275500,-0.3769
276000,-0.3728
276500,-0.3699
277000,-0.3658
277500,-0.3615
278000,-0.3579
278500,-0.3547
279000,-0.3529
279500,-0.3523
280000,-0.3545
280500,-0.3597
281000,-0.3661
281500,-0.3732
282000,-0.3808
282500,-0.3888
283000,-0.3969
283500,-0.4056
284000,-0.4161
284500,-0.4274
285000,-0.4392
285500,-0.4511
286000,-0.4624
286500,-0.473
287000,-0.4823
287500,-0.49
288000,-0.4951
288500,-0.4989
289000,-0.5021
289500,-0.5048
290000,-0.5079
290500,-0.5116
291000,-0.5154
291500,-0.5173
292000,-0.5185
292500,-0.5194
293000,-0.5209
293500,-0.5232
294000,-0.526
294500,-0.53
295000,-0.5331
295500,-0.5358
296000,-0.5385
296500,-0.5415
297000,-0.5443
297500,-0.5462
298000,-0.5475
298500,-0.5479
