Time,value
114000,-0.0955
114500,-0.1019
115000,-0.1065
115500,-0.1103
116000,-0.1129
116500,-0.1149
117000,-0.1143
117500,-0.1144
118000,-0.1142
118500,-0.1144
119000,-0.1141
119500,-0.1141
120000,-0.1137
120500,-0.1144
121000,-0.1161
121500,-0.1175
122000,-0.1174
122500,-0.1177
123000,-0.1183
123500,-0.1195
124000,-0.1207
124500,-0.1207
125000,-0.1203
125500,-0.1203
126000,-0.1203
126500,-0.1199
127000,-0.1192
127500,-0.1197
128000,-0.1194
128500,-0.1199
129000,-0.1215
129500,-0.1238
130000,-0.1263
130500,-0.1296
131000,-0.1329
131500,-0.1357
132000,-0.1395
132500,-0.1429
133000,-0.1457
133500,-0.1475
134000,-0.15
134500,-0.1529
135000,-0.1547
135500,-0.1559
136000,-0.1559
136500,-0.1557
137000,-0.1554
137500,-0.1552
138000,-0.1547
138500,-0.1541
139000,-0.1541
139500,-0.1542
140000,-0.1543
140500,-0.1529
141000,-0.1513
141500,-0.1491
142000,-0.1467
142500,-0.1442
143000,-0.1411
143500,-0.1375
144000,-0.1333
144500,-0.1286
145000,-0.1225
145500,-0.1156
146000,-0.1085
146500,-0.1016
147000,-0.0944
147500,-0.0873
148000,-0.0814
148500,-0.0736
149000,-0.0663
149500,-0.0592
150000,-0.0523
150500,-0.0462
151000,-0.0405
151500,-0.0346
152000,-0.0288
152500,-0.024
153000,-0.0201
153500,-0.0163
154000,-0.0121
154500,-0.0087
155000,-0.0058
155500,-0.0027
156000,-0.0017
156500,0.0011
157000,0.0047
157500,0.0077
158000,0.0093
158500,0.0107
159000,0.0127
159500,0.0151
160000,0.0179
160500,0.0203
161000,0.0203
161500,0.0209
162000,0.0226
162500,0.0254
163000,0.0272
163500,0.0268
164000,0.0239
164500,0.0193
165000,0.0145
165500,0.0111
166000,0.0075
166500,0.0027
167000,-0.0032
167500,-0.0105
168000,-0.0187
168500,-0.0245
169000,-0.0311
169500,-0.0384
170000,-0.0465
170500,-0.0531
171000,-0.0575
171500,-0.0619
172000,-0.0657
172500,-0.0692
173000,-0.0726
173500,-0.0751
174000,-0.0773
174500,-0.0789
175000,-0.0799
175500,-0.0797
176000,-0.0792
176500,-0.079
177000,-0.0785
177500,-0.0777
178000,-0.0779
178500,-0.0788
179000,-0.0792
179500,-0.0797
180000,-0.0798
180500,-0.0799
181000,-0.081
181500,-0.0821
182000,-0.0836
182500,-0.0864
183000,-0.0896
183500,-0.0934
184000,-0.0968
184500,-0.1001
185000,-0.1041
185500,-0.1082
186000,-0.1113
186500,-0.113
187000,-0.114
187500,-0.1146
188000,-0.1149
188500,-0.1143
189000,-0.1135
189500,-0.1121
190000,-0.1095
190500,-0.1061
191000,-0.1014
191500,-0.0967
192000,-0.0924
192500,-0.0876
193000,-0.0822
193500,-0.0773
194000,-0.0735
194500,-0.0701
195000,-0.0669
195500,-0.0635
196000,-0.06
196500,-0.0561
197000,-0.0508
197500,-0.0455
198000,-0.0396
198500,-0.0341
199000,-0.0293
199500,-0.0243
200000,-0.0191
200500,-0.0142
201000,-0.0094
201500,-0.0045
202000,0.0003
202500,0.0053
203000,0.0104
203500,0.0143
204000,0.0164
204500,0.0165
205000,0.0167
205500,0.016
206000,0.0149
206500,0.0137
207000,0.0101
207500,0.0046
208000,-0.0013
208500,-0.0075
209000,-0.0151
209500,-0.0237
210000,-0.0333
210500,-0.0435
211000,-0.0536
211500,-0.0627
212000,-0.0716
212500,-0.0811
213000,-0.091
213500,-0.1011
214000,-0.1107
214500,-0.1177
215000,-0.1227
215500,-0.1265
216000,-0.1289
216500,-0.1305
217000,-0.1313
217500,-0.1321
218000,-0.1331
218500,-0.1353
219000,-0.1377
219500,-0.1401
220000,-0.1421
220500,-0.1437
221000,-0.1451
221500,-0.1467
222000,-0.149
222500,-0.1513
223000,-0.1547
223500,-0.1569
224000,-0.1582
224500,-0.1599
225000,-0.163
225500,-0.1667
226000,-0.1693
226500,-0.1709
227000,-0.1703
227500,-0.1695
228000,-0.1686
228500,-0.1672
229000,-0.1658
229500,-0.1636
230000,-0.1613
230500,-0.1592
231000,-0.1595
231500,-0.1603
232000,-0.1607
232500,-0.1595
233000,-0.1575
233500,-0.1555
234000,-0.1541
234500,-0.1546
235000,-0.1549
235500,-0.1552
236000,-0.156
236500,-0.1568
237000,-0.158
237500,-0.1597
238000,-0.1609
238500,-0.1613
239000,-0.1619
239500,-0.1625
240000,-0.1627
240500,-0.1627
241000,-0.1639
241500,-0.1655
242000,-0.1671
242500,-0.1691
243000,-0.1711
243500,-0.1731
244000,-0.1754
244500,-0.1777
245000,-0.1796
245500,-0.1818
246000,-0.1844
246500,-0.1865
247000,-0.1895
247500,-0.1922
248000,-0.195
248500,-0.1966
249000,-0.1978
249500,-0.1992
250000,-0.2006
250500,-0.2018
251000,-0.2028
251500,-0.2025
252000,-0.2021
252500,-0.2018
253000,-0.2017
253500,-0.2018
254000,-0.2018
254500,-0.2007
255000,-0.1996
255500,-0.1985
256000,-0.1976
256500,-0.1966
257000,-0.1961
257500,-0.1959
258000,-0.196
258500,-0.1952
259000,-0.1953
259500,-0.1953
260000,-0.1955
260500,-0.1951
261000,-0.1943
261500,-0.1936
262000,-0.1931
262500,-0.1927
263000,-0.1928
263500,-0.1921
264000,-0.1915
264500,-0.1905
265000,-0.1878
265500,-0.1862
266000,-0.186
266500,-0.1853
267000,-0.1841
267500,-0.1829
268000,-0.1822
268500,-0.1817
269000,-0.1812
269500,-0.1808
270000,-0.1803
270500,-0.1792
271000,-0.1793
271500,-0.1803
272000,-0.1812
272500,-0.1813
273000,-0.18
273500,-0.1809
274000,-0.1836
274500,-0.188
275000,-0.1927
275500,-0.1971
276000,-0.201
276500,-0.2051
277000,-0.2097
277500,-0.2149
278000,-0.2201
278500,-0.224
279000,-0.2255
279500,-0.226
280000,-0.2283
280500,-0.2295
281000,-0.2291
281500,-0.2271
282000,-0.2243
282500,-0.2215
283000,-0.2188
283500,-0.2171
284000,-0.2153
284500,-0.2124
285000,-0.2091
285500,-0.2057
286000,-0.2024
286500,-0.2005
287000,-0.1994
287500,-0.1999
288000,-0.2017
288500,-0.2029
289000,-0.2047
289500,-0.2059
290000,-0.2069
290500,-0.2081
291000,-0.2085
291500,-0.2087
292000,-0.2101
292500,-0.2119
293000,-0.2137
293500,-0.2161
294000,-0.2185
294500,-0.2213
295000,-0.2219
295500,-0.2217
296000,-0.2217
296500,-0.2215
297000,-0.2223
297500,-0.2231
298000,-0.2248
298500,-0.2293
